root_seed,regime,group_B_lower,group_B_upper,horizon,threshold,B
1000004,NOMINAL,500,650,8,350,0.0
1000004,NOMINAL,500,650,8,400,0.03125
1000004,NOMINAL,500,650,12,300,0.020833333333333332
1000004,NOMINAL,500,650,12,350,0.041666666666666664
1000004,NOMINAL,500,650,12,400,0.11458333333333333
1000004,NOMINAL,500,650,16,300,0.0546875
1000004,NOMINAL,500,650,16,350,0.125
1000004,NOMINAL,500,650,16,400,0.2109375
1000004,PHYSICAL_SHIFT,400,550,8,300,0.03125
1000004,PHYSICAL_SHIFT,400,550,8,350,0.125
1000004,PHYSICAL_SHIFT,400,550,8,400,0.234375
1000004,PHYSICAL_SHIFT,400,550,12,300,0.17708333333333334
1000004,PHYSICAL_SHIFT,400,550,12,350,0.25
1000004,PHYSICAL_SHIFT,400,550,12,400,0.3229166666666667
1000004,PHYSICAL_SHIFT,400,550,16,300,0.2578125
1000004,PHYSICAL_SHIFT,400,550,16,350,0.3125
1000004,PHYSICAL_SHIFT,400,550,16,400,0.3671875
1000004,PHYSICAL_SHIFT,450,600,8,300,0.015625
1000004,PHYSICAL_SHIFT,450,600,8,350,0.03125
1000004,PHYSICAL_SHIFT,450,600,8,400,0.125
1000004,PHYSICAL_SHIFT,450,600,12,300,0.13541666666666666
1000004,PHYSICAL_SHIFT,450,600,12,350,0.17708333333333334
1000004,PHYSICAL_SHIFT,450,600,12,400,0.25
1000004,PHYSICAL_SHIFT,450,600,16,300,0.2265625
1000004,PHYSICAL_SHIFT,450,600,16,350,0.2578125
1000004,PHYSICAL_SHIFT,450,600,16,400,0.3125
1000004,PHYSICAL_SHIFT,500,650,8,300,0.0
1000004,PHYSICAL_SHIFT,500,650,8,350,0.015625
1000004,PHYSICAL_SHIFT,500,650,8,400,0.03125
1000004,PHYSICAL_SHIFT,500,650,12,300,0.09375
1000004,PHYSICAL_SHIFT,500,650,12,350,0.13541666666666666
1000004,PHYSICAL_SHIFT,500,650,12,400,0.17708333333333334
1000004,PHYSICAL_SHIFT,500,650,16,300,0.1953125
1000004,PHYSICAL_SHIFT,500,650,16,350,0.2265625
1000004,PHYSICAL_SHIFT,500,650,16,400,0.2578125
1000005,NOMINAL,400,550,8,300,0.0
1000005,NOMINAL,400,550,8,350,0.09375
1000005,NOMINAL,400,550,8,400,0.234375
1000005,NOMINAL,400,550,12,300,0.10416666666666667
1000005,NOMINAL,400,550,12,350,0.21875
1000005,NOMINAL,400,550,12,400,0.3229166666666667
1000005,NOMINAL,400,550,16,300,0.203125
1000005,NOMINAL,400,550,16,350,0.2890625
1000005,NOMINAL,400,550,16,400,0.3671875
1000005,NOMINAL,450,600,8,300,0.0
1000005,NOMINAL,450,600,8,350,0.0
1000005,NOMINAL,450,600,8,400,0.09375
1000005,NOMINAL,450,600,12,300,0.03125
1000005,NOMINAL,450,600,12,350,0.10416666666666667
1000005,NOMINAL,450,600,12,400,0.21875
1000005,NOMINAL,450,600,16,300,0.125
1000005,NOMINAL,450,600,16,350,0.203125
1000005,NOMINAL,450,600,16,400,0.2890625
1000005,NOMINAL,500,650,8,300,0.0
1000005,NOMINAL,500,650,8,350,0.0
1000005,NOMINAL,500,650,8,400,0.0
1000005,NOMINAL,500,650,12,300,0.0
1000005,NOMINAL,500,650,12,350,0.03125
1000005,NOMINAL,500,650,12,400,0.10416666666666667
1000005,NOMINAL,500,650,16,300,0.0546875
1000005,NOMINAL,500,650,16,350,0.125
1000005,NOMINAL,500,650,16,400,0.203125
1000005,PHYSICAL_SHIFT,400,550,8,300,0.046875
1000005,PHYSICAL_SHIFT,400,550,8,350,0.109375
1000005,PHYSICAL_SHIFT,400,550,8,400,0.234375
1000005,PHYSICAL_SHIFT,400,550,12,300,0.19791666666666666
1000005,PHYSICAL_SHIFT,400,550,12,350,0.23958333333333334
1000005,PHYSICAL_SHIFT,400,550,12,400,0.3229166666666667
1000005,PHYSICAL_SHIFT,400,550,16,300,0.2734375
1000005,PHYSICAL_SHIFT,400,550,16,350,0.3046875
1000005,PHYSICAL_SHIFT,400,550,16,400,0.3671875
1000005,PHYSICAL_SHIFT,450,600,8,300,0.0
1000005,PHYSICAL_SHIFT,450,600,8,350,0.046875
1000005,PHYSICAL_SHIFT,450,600,8,400,0.109375
1000005,PHYSICAL_SHIFT,450,600,12,300,0.13541666666666666
1000005,PHYSICAL_SHIFT,450,600,12,350,0.19791666666666666
1000005,PHYSICAL_SHIFT,450,600,12,400,0.23958333333333334
1000005,PHYSICAL_SHIFT,450,600,16,300,0.2265625
1000005,PHYSICAL_SHIFT,450,600,16,350,0.2734375
1000005,PHYSICAL_SHIFT,450,600,16,400,0.3046875
1000005,PHYSICAL_SHIFT,500,650,8,300,0.0
1000005,PHYSICAL_SHIFT,500,650,8,350,0.0
1000005,PHYSICAL_SHIFT,500,650,8,400,0.046875
1000005,PHYSICAL_SHIFT,500,650,12,300,0.08333333333333333
1000005,PHYSICAL_SHIFT,500,650,12,350,0.13541666666666666
1000005,PHYSICAL_SHIFT,500,650,12,400,0.19791666666666666
1000005,PHYSICAL_SHIFT,500,650,16,300,0.1875
1000005,PHYSICAL_SHIFT,500,650,16,350,0.2265625
1000005,PHYSICAL_SHIFT,500,650,16,400,0.2734375
1000006,NOMINAL,400,550,8,300,0.03125
1000006,NOMINAL,400,550,8,350,0.109375
1000006,NOMINAL,400,550,8,400,0.25
1000006,NOMINAL,400,550,12,300,0.125
1000006,NOMINAL,400,550,12,350,0.22916666666666666
1000006,NOMINAL,400,550,12,400,0.3333333333333333
1000006,NOMINAL,400,550,16,300,0.21875
1000006,NOMINAL,400,550,16,350,0.296875
1000006,NOMINAL,400,550,16,400,0.375
1000006,NOMINAL,450,600,8,300,0.0
1000006,NOMINAL,450,600,8,350,0.03125
1000006,NOMINAL,450,600,8,400,0.109375
1000006,NOMINAL,450,600,12,300,0.052083333333333336
1000006,NOMINAL,450,600,12,350,0.125
1000006,NOMINAL,450,600,12,400,0.22916666666666666
1000006,NOMINAL,450,600,16,300,0.140625
1000006,NOMINAL,450,600,16,350,0.21875
1000006,NOMINAL,450,600,16,400,0.296875
1000006,NOMINAL,500,650,8,300,0.0
1000006,NOMINAL,500,650,8,350,0.0
1000006,NOMINAL,500,650,8,400,0.03125
1000006,NOMINAL,500,650,12,300,0.0
1000006,NOMINAL,500,650,12,350,0.052083333333333336
1000006,NOMINAL,500,650,12,400,0.125
1000006,NOMINAL,500,650,16,300,0.0625
